(-10.000000, -0.158118)
(-9.999010, -0.158122)
(-9.998020, -0.158130)
(-9.997030, -0.158137)
(-9.996039, -0.158145)
(-9.995049, -0.158153)
(-9.994059, -0.158161)
(-9.993069, -0.158169)
(-9.992079, -0.158177)
(-9.991089, -0.158184)
(-9.990099, -0.158192)
(-9.989108, -0.158200)
(-9.988118, -0.158208)
(-9.987128, -0.158216)
(-9.986138, -0.158224)
(-9.985148, -0.158231)
(-9.984158, -0.158239)
(-9.983167, -0.158247)
(-9.982177, -0.158255)
(-9.981187, -0.158263)
(-9.980197, -0.158271)
(-9.979207, -0.158279)
(-9.978217, -0.158286)
(-9.977227, -0.158294)
(-9.976236, -0.158302)
(-9.975246, -0.158310)
(-9.974256, -0.158318)
(-9.973266, -0.158326)
(-9.972276, -0.158334)
(-9.971286, -0.158341)
(-9.970296, -0.158349)
(-9.969305, -0.158357)
(-9.968315, -0.158365)
(-9.967325, -0.158373)
(-9.966335, -0.158381)
(-9.965345, -0.158389)
(-9.964355, -0.158396)
(-9.963365, -0.158404)
(-9.962374, -0.158412)
(-9.961384, -0.158420)
(-9.960394, -0.158428)
(-9.959404, -0.158436)
(-9.958414, -0.158444)
(-9.957424, -0.158452)
(-9.956433, -0.158459)
(-9.955443, -0.158467)
(-9.954453, -0.158475)
(-9.953463, -0.158483)
(-9.952473, -0.158491)
(-9.951483, -0.158499)
(-9.950493, -0.158507)
(-9.949502, -0.158515)
(-9.948512, -0.158523)
(-9.947522, -0.158530)
(-9.946532, -0.158538)
(-9.945542, -0.158546)
(-9.944552, -0.158554)
(-9.943562, -0.158562)
(-9.942571, -0.158570)
(-9.941581, -0.158578)
(-9.940591, -0.158586)
(-9.939601, -0.158594)
(-9.938611, -0.158601)
(-9.937621, -0.158609)
(-9.936631, -0.158617)
(-9.935640, -0.158625)
(-9.934650, -0.158633)
(-9.933660, -0.158641)
(-9.932670, -0.158649)
(-9.931680, -0.158657)
(-9.930690, -0.158665)
(-9.929699, -0.158673)
(-9.928709, -0.158681)
(-9.927719, -0.158688)
(-9.926729, -0.158696)
(-9.925739, -0.158704)
(-9.924749, -0.158712)
(-9.923759, -0.158720)
(-9.922768, -0.158728)
(-9.921778, -0.158736)
(-9.920788, -0.158744)
(-9.919798, -0.158752)
(-9.918808, -0.158760)
(-9.917818, -0.158768)
(-9.916828, -0.158776)
(-9.915837, -0.158783)
(-9.914847, -0.158791)
